Declaration_Number,Declaration_Type,Declaration_Date,State,Disaster_Type
DR-4222,Disaster,26/05/2015,OK,Storm
DR-4223,Disaster,29/05/2015,TX,Storm
DR-4224,Disaster,05/06/2015,GU,Typhoon
DR-4225,Disaster,25/06/2015,NE,Storm
DR-4226,Disaster,26/06/2015,AR,Storm
DR-4227,Disaster,07/07/2015,WY,Flood
DR-4228,Disaster,13/07/2015,LA,Flood
DR-4229,Disaster,16/07/2015,CO,Flood
DR-4230,Disaster,20/07/2015,KS,Storm
DR-4231,Disaster,22/07/2015,NJ,Storm
DR-4232,Disaster,29/07/2015,VT,Storm
DR-4233,Disaster,30/07/2015,SD,Storm
DR-4234,Disaster,31/07/2015,IA,Storm
DR-4235,Disaster,05/08/2015,MP,Typhoon
DR-4238,Disaster,07/08/2015,MO,Storm
DR-4237,Disaster,07/08/2015,SD,Storm
DR-4236,Disaster,07/08/2015,WV,Storm
DR-4239,Disaster,12/08/2015,KY,Storm
EM-3372,Emergency,21/08/2015,WA,Fire
DR-4240,Disaster,22/09/2015,CA,Fire
EM-3373,Emergency,03/10/2015,SC,Storm
DR-4241,Disaster,05/10/2015,SC,Flood
DR-4242,Disaster,15/10/2015,WA,Storm
DR-4243,Disaster,20/10/2015,WA,Fire
DR-4244,Disaster,30/10/2015,AK,Storm
DR-4245,Disaster,25/11/2015,TX,Storm
DR-4246,Disaster,23/12/2015,ID,Storm
DR-4247,Disaster,29/12/2015,OK,Ice
EM-3374,Emergency,02/01/2016,MO,Flood
DR-4248,Disaster,04/01/2016,MS,Storm
DR-4249,Disaster,15/01/2016,WA,Storm
EM-3375,Emergency,16/01/2016,MI,Chemical
DR-4251,Disaster,21/01/2016,AL,Storm
DR-4250,Disaster,21/01/2016,MO,Flood
DR-4252,Disaster,01/02/2016,ID,Storm
DR-4253,Disaster,02/02/2016,WA,Flood
DR-4254,Disaster,05/02/2016,AR,Storm
EM-3376,Emergency,05/02/2016,LA,Flood
DR-4255,Disaster,09/02/2016,TX,Storm
DR-4256,Disaster,10/02/2016,OK,Storm
DR-4258,Disaster,17/02/2016,OR,Storm
DR-4257,Disaster,17/02/2016,AK,Storm
DR-4259,Disaster,26/02/2016,GA,Storm
DR-4261,Disaster,04/03/2016,MD,Snow
DR-4260,Disaster,04/03/2016,DC,Snow
DR-4262,Disaster,07/03/2016,VA,Snow
DR-4263,Disaster,13/03/2016,LA,Flood
DR-4264,Disaster,14/03/2016,NJ,Storm
DR-4265,Disaster,16/03/2016,DE,Snow
DR-4266,Disaster,19/03/2016,TX,Flood
DR-4267,Disaster,23/03/2016,PA,Snow
DR-4268,Disaster,25/03/2016,MS,Flood
DR-4269,Disaster,25/04/2016,TX,Flood
DR-4270,Disaster,06/05/2016,AR,Storm
DR-4271,Disaster,24/05/2016,MT,Storm
DR-4272,Disaster,11/06/2016,TX,Flood
DR-4273,Disaster,25/06/2016,WV,Flood
DR-4274,Disaster,15/07/2016,OK,Flood
DR-4275,Disaster,03/08/2016,MT,Tornado
DR-4276,Disaster,09/08/2016,WI,Storm
DR-4277,Disaster,14/08/2016,LA,Flood
DR-4278,Disaster,26/08/2016,KY,Storm
DR-4279,Disaster,16/09/2016,MD,Flood
DR-4280,Disaster,28/09/2016,FL,Hurricane
DR-4281,Disaster,29/09/2016,IA,Flood
EM-3379,Emergency,06/10/2016,GA,Hurricane
EM-3378,Emergency,06/10/2016,SC,Hurricane
DR-4282,Disaster,06/10/2016,HI,Mud/Landslide
EM-3377,Emergency,06/10/2016,FL,Hurricane
EM-3380,Emergency,07/10/2016,NC,Hurricane
DR-4284,Disaster,08/10/2016,GA,Hurricane
DR-4283,Disaster,08/10/2016,FL,Hurricane
DR-4285,Disaster,10/10/2016,NC,Hurricane
DR-4286,Disaster,11/10/2016,SC,Hurricane
DR-4288,Disaster,20/10/2016,WI,Flood
DR-4287,Disaster,20/10/2016,KS,Storm
DR-4289,Disaster,31/10/2016,IA,Flood
DR-4291,Disaster,02/11/2016,VA,Hurricane
DR-4290,Disaster,02/11/2016,MN,Flood
DR-4292,Disaster,02/12/2016,PA,Flood
DR-4293,Disaster,15/12/2016,TN,Fire
DR-4295,Disaster,25/01/2017,MS,Tornado
DR-4294,Disaster,25/01/2017,GA,Storm
DR-4296,Disaster,25/01/2017,OR,Storm
DR-4297,Disaster,26/01/2017,GA,Tornado
DR-4298,Disaster,01/02/2017,SD,Storm
DR-4299,Disaster,10/02/2017,OK,Storm
DR-4300,Disaster,11/02/2017,LA,Tornado
DR-4302,Disaster,14/02/2017,CA,Storm
EM-3381,Emergency,14/02/2017,CA,Dam/Levee Break
DR-4301,Disaster,14/02/2017,CA,Storm
